#Frame         radius     distplot         rmsf  ligand_rmsd            C           CA            O            N         SASA
     188      21.7015       1.5548      55.8874       1.9146       1.9297       1.9652       2.0197       1.9296     122.7666
     189      21.6492       1.5679      31.4949       2.0801       1.9051       1.9417       1.9828       1.9034     135.6842
     190      21.6639       1.6755      62.9183       1.9316       2.0087       2.0517       2.0945       2.0119     120.5941
     191      21.6229       1.6708     146.4665       2.0844       1.9766       2.0030       2.0752       1.9678     129.9364
     192      21.6517       1.7218      33.6943       1.9872       2.0551       2.0848       2.1489       2.0454     125.5791
     193      21.7590       1.6722      22.3088       1.9465       1.9979       2.0321       2.0967       1.9938     146.1247
     194      21.6690       1.5531      17.3343       2.0401       1.8082       1.8424       1.9172       1.7994     141.0776
     195      21.6426       1.5237      15.7604       1.8722       1.7877       1.8235       1.9098       1.7786     126.6178
     196      21.6715       1.6106      18.9805       1.7291       1.7765       1.8102       1.8913       1.7661     120.0565
     197      21.5819       1.5963      21.3674       1.7312       1.6796       1.7115       1.8094       1.6697     137.5893
     198      21.5621       1.4961      19.0172       2.0006       1.6577       1.6879       1.7645       1.6490     142.3323
     199      21.6461       1.5274      10.1806       2.0773       1.7392       1.7792       1.8768       1.7189     132.4456
     200      21.6634       1.4609       9.5566       2.0520       1.6745       1.7050       1.8048       1.6558     127.8057
     201      21.5906       1.5536      13.4944       1.9322       1.7483       1.7833       1.8812       1.7336     125.7632
     202      21.6089       1.5410      10.2731       1.9115       1.7627       1.7926       1.8849       1.7499     135.7640
     203      21.6714       1.5861      10.1270       1.9854       1.6972       1.7328       1.8240       1.6860     133.6956
     204      21.6671       1.5588       9.6709       1.7127       1.6814       1.7246       1.8018       1.6802     133.8212
     205      21.6215       1.5688       8.4000       1.7323       1.6783       1.7078       1.8047       1.6674     128.2777
     206      21.6173       1.5982       6.0703       1.9295       1.7988       1.8355       1.9171       1.7957     126.1949
     207      21.6382       1.5745       6.9295       1.8298       1.8111       1.8465       1.9369       1.7960     154.2070
     208      21.6082       1.6131       6.8309       1.9185       1.7809       1.8230       1.8870       1.7771     142.9985
     209      21.6624       1.7515       8.6043       2.0998       2.1212       2.1611       2.2132       2.1176     128.8053
     210      21.5842       1.6998      11.8616       1.7634       2.0233       2.0708       2.1300       2.0183     133.6010
     211      21.7130       1.7401      24.1919       1.8619       2.1267       2.1641       2.2476       2.1127     134.5264
     212      21.7948       1.8038      39.7840       2.1252       2.2718       2.3131       2.3751       2.2675     134.3330
     213      21.6638       1.6818      20.1725       2.1141       2.0877       2.1219       2.2045       2.0747     127.2795
     214      21.7138       1.7617      14.9694       1.8328       2.2287       2.2690       2.3356       2.2165     134.3641
     215      21.6954       1.7612      10.3683       2.0578       2.2023       2.2348       2.3088       2.1848     133.2068
     216      21.5993       1.7192       9.4303       1.7769       2.1547       2.1823       2.2649       2.1356     154.1678
